Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
"More capable, more innovative? An empirical inquiry into the effects of dynamic managerial capabilities on digital firms' innovativeness","Purpose: Managers play a critical role in shaping the development of firms due to the risky and long-term nature of innovation. Although the managerial effect on strategic change has long been factored into organizational theories, scholars still lack a complete understanding of the specific managerial capabilities that drive innovation in today's digital economy. The present study builds on dynamic managerial capabilities theory to close this research gap. The paper proposes managers' dynamic capabilities and their three underlying drivers – managerial human capital, social capital, and cognition – as a direct antecedent to digital firms' innovativeness. Design/methodology/approach: The study draws on survey data from German Industry 4.0 manufacturing firms, which were analyzed using regression analysis. Findings: The results confirm managers' dynamic capabilities as facilitators of innovation. In contrast to previous research on nondigital industries, the findings demonstrate that only the complete portfolio of managers' dynamic capabilities promotes innovativeness in digital firms. The study provides evidence for the importance of dynamic managerial capabilities in the digital economy yet contradicts previous research on nondigital industries related to the advantageousness of managers' human capital, social capital, and cognition for innovation. Originality/value: The study contributes to the literature by being the first to holistically test the effects of dynamic managerial capabilities on innovation in digital firms. The results offer a nuanced account of managers' dynamic capabilities, thereby expanding dynamic managerial capabilities theory to the digital economy.",Digital transformation; Dynamic managerial capabilities; Human capital; Innovation; Managerial cognition; Social capital,2022,57,10.1108/EJIM-02-2022-0099,Heubeck T.,European Journal of Innovation Management,2-s2.0-85135471311
"Environmental, social and governance performance: dynamic capabilities through digital transformation","Purpose: While prior studies predominantly focus on the overall impact of digital transformation on environmental, social and governance (ESG) performance, this study employs dynamic capability theory to examine two different dimensions of digital transformation, namely digital transformation quantity and digital transformation structure, and how they influence the ESG performance of enterprises. The mediating roles of social attention and green innovation are investigated to further explore the underlying mechanisms. Design/methodology/approach: The authors apply fixed effects models and empirically test the hypotheses using samples of Chinese A-share listed companies from 2011 to 2020. In addition, difference-in-differences and instrumental variable methods are used in the robustness test. Findings: When digital transformation is categorized into quantity and structure, the impact mechanisms are found to be distinct. Externally, digital transformation quantity attracts social attention, aiding enterprises in evolutionary adaptability and acquiring resources to support ESG practices. Internally, digital transformation structure fosters green innovation, enabling enterprises to overcome technical obstacles and harness technology’s potential to enhance their ESG performance. Originality/value: This study contributes to the current knowledge by differentiating digital transformation into quantity and structure, which helps to further explore the mechanism of digital transformation on ESG and address the research gap. Meanwhile, the concept of adaptability in the dynamic capability theory is employed to construct the model, offering a deeper perspective and expanding the theory. This nuanced investigation of the mediating effects of social attention and green innovation elucidates how different dimensions of digital transformation contribute to the development and utilization of dynamic capabilities, thereby enhancing enterprises’ ESG performance.",Digital transformation; Dynamic capability theory; ESG performance; Green innovation; Social attention,2024,57,10.1108/MD-10-2023-2028,Wei J.,Management Decision,2-s2.0-85198095024
"Digital transformation and innovation, dynamic capabilities to strengthen the financial performance of Mexican SMEs: a sustainable approach","The main purpose of the research is to analyze the effect that digital transformation has on technological and non-technological innovation as key factors that increase financial performance in SMEs. The study focuses on a sample of 4121 SMEs from the services, trade and manufacturing sectors, located in Mexico. The data was collected through an online questionnaire addressed to the SMEs manager through the LimeSurvey platform. The field work will be carried out from January to July 2022. The PLS-SEM statistical technique was used to test the hypotheses of the proposed theoretical model. The data show that digital transformation plays an important role in a more decisive way in technological innovation and non-technological innovation; In addition, it is also proven that innovation in its two modalities has significant effects on the financial performance results of Mexican SMEs. However, we have found that digital transformation has a small effect on the financial performance of these companies. On the other hand, the study shows that the sustainability strategy plays the role of a moderating variable, positively affecting technological innovation and non-technological innovation. Furthermore, the study explains that the male gender is the one that has had the best results in innovation and financial performance. The study contributes to the development of the theory of dynamic capabilities supported by the innovation model (DUI and STI).","Digital transformation; Innovation Models Business; Jeffrey Muldoon, Emporia State University, United States; SMEs; technological/non-technological innovation",2024,56,10.1080/23311975.2024.2318635,Valdez-Juárez L.E.,Cogent Business and Management,2-s2.0-85186949086
Digital transformation in Malaysian manufacturing: a study of change sensing and seizing capabilities,"Purpose: This study aims to explore the interplay between organizational culture, available resources, change management competency, and employee attitudes towards digital transformation readiness in Malaysia’s manufacturing sector. It seeks to address a research gap by providing empirical evidence and theoretical insights into the specific readiness for digital transformation within this context. Design/methodology/approach: A mixed-methods design was employed to collect and analyze data, offering a comprehensive view of digital transformation readiness. The quantitative phase involved a structured survey distributed to 357 participants from the manufacturing sector, while the qualitative phase consisted of semi-structured interviews with 20 key informants from selected manufacturing companies. This approach facilitated the exploration of dynamic capabilities, resource availability, change management competencies, and the influence of organizational culture and employee attitudes on digital transformation readiness. Findings: The findings indicate that organizational culture, resource availability, change management capabilities, and employee attitudes towards innovation and change significantly impact an organization’s readiness for digital transformation. The study underscores the critical role of effective change management and the positive influence of a supportive organizational culture and employee attitudes in enhancing digital transformation efforts. Originality/value: This research contributes significantly to the digital transformation literature by analyzing factors affecting digital readiness within the Malaysian manufacturing sector, an area previously underexplored. Integrating Dynamic Capabilities Theory, the Resource-Based View, and Change Management Theories, and using a mixed-methods approach, the study offers valuable insights for industry leaders, managers, and policymakers on effectively driving digital transformation. It highlights the importance of resource allocation, supportive organizational culture, and effective change management practices, addressing a critical gap in existing research.","Business, Management, and Accounting; change management competency; Digital transformation; employee attitudes; Industry and Industrial Studies; Information Technology Industries; Manufacturing Industries; manufacturing sector; organizational culture; resource availability",2024,55,10.1080/23311975.2024.2392046,Ahmed S.,Cogent Business and Management,2-s2.0-85201546072
"Digital transformation in the SME context: The nexus between leadership, digital capabilities and digital strategy","Digital transformation (DT) fundamentally disrupts enterprise operations presenting both unprecedented opportunities and complex challenges for organisational leadership. Drawing upon dynamic capability theory, we develop a model exploring the dynamics of digital transformational leadership (DTL) and its effects on DT within small- and medium-sized enterprises (SMEs). Specifically, we investigate the mediating roles of digital capabilities and digital strategies. Data from 256 SMEs in Ghana were analysed using structural equation modelling techniques to test hypotheses. The findings reveal a positive relationship between DTL and DT, demonstrating that the former positively influences digital IT capabilities (ITDC), employee digital capabilities, and digital strategies. ITDC and employee digital capabilities partially mediate the relationship between leadership and DT, while digital strategy shows a weaker mediating effect. The findings enhance understanding of how transformational leadership influences DT in SMEs, emphasising the role of digital capabilities and the nuanced impact of digital strategies.",digital capabilities; digital strategy; digital transformation; digital transformational leadership; SMEs,2025,55,10.1177/02662426251314108,Gyamerah S.,International Small Business Journal Researching Entrepreneurship,2-s2.0-85217179370
Microfoundations of dynamic capabilities for digital transformation,,Digital innovation management; Digital transformation; Dynamic capabilities; Microfoundations,2025,54,10.1108/EJIM-12-2023-1074,Kowalski M.,European Journal of Innovation Management,2-s2.0-85195492127
Digital Transformation of SMEs: The Role of Entrepreneurial Persistence and Market Sensing Dynamic Capability,"New digital technologies, combined with the challenges faced by the pandemic, have prompted several organizations, including small and medium sized enterprises (SMEs), to innovate their business models. We extent this article by studying the impact of strategic leaders' entrepreneurial persistence on digital transformation and business model innovation (BMI). We also examine the role of market-sensing dynamic capability in these relationships. To test our hypotheses, we use survey data from 229 owners/CEOs and senior managers of SMEs based in United Arab Emirates. The results show that entrepreneurial persistence positively influences the adoption of digital technologies and BMI. Moreover, the adoption of digital technologies has a positive effect on BMI and mediates the direct effects of entrepreneurial persistence on BMI. The mediating influence is positively moderated by market sensing dynamic capability.",Business model innovation; digital transformation; dynamic capabilities; entrepreneurial persistence; market sensing; SMEs,2024,54,10.1109/TEM.2022.3230248,Christofi M.,IEEE Transactions on Engineering Management,2-s2.0-85147276729
"Enterprise Digital Transformation, Dynamic Capabilities, and ESG Performance: Based on Data From Listed Chinese Companies","Digital transformation improves the operational efficiency and perceptual capabilities of businesses and creates a foundation for fulfilling ESG responsibilities. The authors use the theories of technological innovation and dynamic capabilities and select a sample of 4054 listed companies with commercial integration of ESG rating data to explore the mechanisms through which digital transformation affects ESG performance. Dynamic capabilities are further divided into innovation changeability (IT), coordination integration capability (CI), and learning absorption capability (LA) to investigate the mediating effects and summarize the causal path of “digital transformation - dynamic capabilities - ESG performance.” The research focuses on the impact of digital technology on ESG performance with the aim of helping businesses utilize technology more effectively to build dual competitive advantages in digitization and ESG.",Digital Transformation; Dynamic Capabilities; ESG,2024,53,10.4018/JGIM.335905,Zhang L.,Journal of Global Information Management,2-s2.0-85182887827
"Digital maturity, dynamic capabilities and innovation performance in high-tech SMEs","The rapid advancement of digital technologies has positioned digital transformation as a strategic imperative for firms seeking to enhance innovation and competitiveness. However, existing research predominantly focuses on large corporations, overlooking how high-tech small and medium-sized enterprises (SMEs) navigate digitalization to drive innovation performance. Addressing this gap, this study examines the role of digital maturity in fostering innovation within high-tech SMEs, with a particular emphasis on the mediating effect of dynamic capabilities. Using survey data from 587 high-tech SMEs in China, analyzed through Partial Least Squares Structural Equation Modeling (PLS-SEM), the findings reveal that digital maturity positively influences both dynamic capabilities and innovation performance. Additionally, dynamic capabilities serve as a crucial mediating mechanism between digital maturity and innovation performance, reinforcing the importance of organizational agility and resource reconfiguration in digital transformation. However, the moderating effect of digital maturity on the relationship between dynamic capabilities and innovation performance was not supported, indicating that achieving higher digital maturity alone does not necessarily strengthen this linkage. These insights contribute to the broader discourse on digital transformation by demonstrating that a strategic alignment between digital maturity and dynamic capabilities is essential for high-tech SMEs to achieve sustainable innovation. The findings provide actionable implications for managers and policymakers seeking to optimize digital strategies and enhance competitiveness in rapidly evolving technological landscapes.",Digital maturity; Digital transformation; Dynamic capabilities; Innovation performance,2025,53,10.1016/j.iref.2025.103971,Jie H.,International Review of Economics and Finance,2-s2.0-86000347758
Data in design: How big data and thick data inform design thinking projects,"Scholars and practitioners have recognized that making innovation happen today requires renewed approaches focused on agility, dynamicity, and other organizational capabilities that enable firms to cope with uncertainty and complexity. In turn, the literature has shown that design thinking is a useful methodology to cope with ill-defined and wicked problems. In this study, we address the question of the little-known role of different types of data in innovation projects characterized by ill-defined problems requiring creativity to be solved. Rooted in qualitative observation (thick data) and quantitative analyses (big data), we investigate the role of data in eight design thinking projects dealing with ill-defined and wicked problems. Our findings highlight the practical and theoretical implications of eight practices that differently make use of big and thick data, informing academics and practitioners on how different types of data are utilized in design thinking projects and the related principles and practices.",Big data; Design; Design thinking; Digital technology; Digital transformation; Dynamic capabilities; Innovation; Thick data,2023,53,10.1016/j.technovation.2022.102688,Mortati M.,Technovation,2-s2.0-85146003579
Digital transformation and export performance: a process mechanism of firm digital capabilities,"Purpose: This study aims to investigate the logic between digital transformation and export performance by analysing a large sample of Vietnamese exporters. The theoretical model is further extended by investigating the driving role of digital transformational leadership and mediating effects of firm digital capabilities and employee exploration and exploitation innovation. Design/methodology/approach: The study sample comprised 364 middle managers at 107 export firms in Ho Chi Minh City, Vietnam. The data are analysed using a partial least square-structural equation model (PLS-SEM). Findings: Digital transformation may be an indispensable tool for enhancing the export performance of businesses. Moreover, digital transformational leadership may drive digital transformation through the mediating mechanisms of firm digital capabilities and employee exploration and exploitation innovations to achieve high export performance. Originality/value: This initial study contributes significantly to international business theory through the lens of dynamic capabilities theory, which reveals the role of digital transformation in export performance via mechanisms of digital transformational leadership, firm digital capabilities and employee exploration and exploitation innovation.",Digital capabilities; Digital transformation; Digital transformational leadership; Employee exploitation innovation; Employee exploration innovation; Export performance,2023,52,10.1108/BPMJ-01-2023-0024,Luu T.D.,Business Process Management Journal,2-s2.0-85161506350
"Digital literacy, digital accessibility, human capital, and entrepreneurial resilience: a case for dynamic business ecosystems","This study examines the role of digital literacy, digital accessibility, and human capital in fostering entrepreneurial resilience among entrepreneurs in Qatar and the United Arab Emirates (UAE). These countries serve as exemplary models in digital transformation, particularly in navigating crises such as the COVID-19 pandemic. Grounded in the resource-based view and the theory of dynamic capabilities, this research investigates how these factors contribute to entrepreneurial resilience. This study employs structural equation modeling to analyze survey data from 317 individuals with entrepreneurial experience. According to the findings, digital literacy, accessibility, and human capital significantly enhance innovation, strengthening entrepreneurial resilience. Agility is identified as a key moderator, amplifying the positive impact of these competencies on resilience. Although the success of entrepreneurial ecosystems has often been attributed to entrepreneurial actors, resource providers, connectors, or entrepreneurial intentions, this study underscores the importance of fostering digital competencies and agility to build resilient entrepreneurial ecosystems. It offers policymakers and business leaders insights into the mechanisms that enhance resilience in dynamic and crisis-affected environments where the digital landscape is rapidly evolving.",Agility; Digital accessibility; Digital literacy; Entrepreneurial resilience; Human capital; Innovation,2025,52,10.1016/j.jik.2025.100709,Shatila K.,Journal of Innovation and Knowledge,2-s2.0-105002773554
Unraveling the paradoxical effects of digital transformation on organizational Resilience: The role of customer and supplier concentrations,"Digital transformation brings new opportunities but also presents challenges for firms aiming to enhance organizational resilience. This study delves into the paradoxical effects of digital transformation by focusing on two critical dimensions of organizational resilience: resistance capacity and recovery capacity. By integrating Dynamic Capability Theory (DCT) and Resource Dependence Theory (RDT), we explore how opportunities for dynamic learning and adaptability, afforded by utilizing both internal resources from digital transformation and external resources from outside partners, may affect organizational resilience in the manufacturing sector. Analyzing a panel dataset of 15,845 firm-year observations from 2,002 organizations listed on China's Shanghai and Shenzhen Stock Exchanges (2011–2021), we uncover a digital transformation paradox: it negatively impacts resistance capacity but positively influences recovery capacity. Interestingly, customer and supplier concentrations mitigate the negative effect of digital transformation on resistance capacity, but they do not significantly affect the relationship between digital transformation and recovery capacity. This study provides valuable insights by integrating perspectives from dynamic capability and external resource dependence. It offers both theoretical and practical implications for effectively managing digital transformation and enhancing organizational resilience within supply chain networks.",Customer Concentration; Digital Transformation; Dynamic Capability Theory; Organizational Resilience; Resource Dependence Theory; Supplier Concentration,2025,52,10.1016/j.jbusres.2025.115268,Chi M.,Journal of Business Research,2-s2.0-85219125541
Decoding digital transformational outsourcing: The role of service providers’ capabilities,"The business process outsourcing industry has got disrupted, first by the significant shift in value creation activities from the clients to the service providers, and second by pervasive digital penetration, resulting in the emergence of Digital Transformational Outsourcing (DTO). Service providers now play a more significant role, making their capabilities important. In the new context, service providers require a uniquely different set of dynamic capabilities to handle end-to-end business functions on behalf of their clients while delivering digital value propositions. We study 26 of the largest global business process outsourcing providers to conceptualise and identify six dynamic capabilities of service providers salient in the new context, i.e., consultative, orchestration, insights, network management, knowledge access, and standardisation. Interviews conducted with industry experts provided evidence in support of the identified dynamic capabilities. A novel firm capability dataset was created using secondary data, and using fuzzy-set Qualitative Comparative Analysis (fsQCA), we identify configurations for high and low performance and find them to vary by the firm's broad/narrow scope.",Digital transformation; Dynamic capabilities; fsQCA; Outsourcing; Service providers,2021,52,10.1016/j.ijinfomgt.2020.102295,Mazumder S.,International Journal of Information Management,2-s2.0-85100665879
Avoiding crisis-driven business failure through digital dynamic capabilities. B2B distribution firms during the COVID-19 and beyond,"Previous research has proposed different determinants of the success and failure of technological innovation in industrial networks. However, following the recent COVID-19 pandemic crisis, distributors have been seeking to become more agile in identifying and transforming business processes to avoid failures. Although industrial practitioners have been broadly motivated to understand the effects of pandemics on business failure, the contingency factors that affect organizations in their responses to such sudden exogenous shocks remain unclear. Inspired by a burgeoning academic interest in viewing the COVID-19 pandemic as a digital accelerator, this paper examines how B2B distribution firms have been avoiding business failure by using their dynamic capabilities (DCs) in response to the sudden exogenous shocks caused by the pandemic. Based on data drawn from interviews conducted with a sample of B2B distribution firms, we argue that capitalizing on digital DCs—digital sensing (i.e., digital mindset crafting and digital scenario planning), digital seizing (i.e., engaging in strategic agility and balancing a digital portfolio), and digital transformation (i.e., navigating the innovation ecosystem, redesigning the internal structure, and improving digital maturity), —helps to prevent business failure during a pandemic.",B2B distributor; Business failure; Digital dynamic capabilities; Industrial networks; Post-COVID-19 pandemic,2023,52,10.1016/j.indmarman.2023.05.015,Zia N.U.,Industrial Marketing Management,2-s2.0-85161011596
Innovating for a Greener Future: Do Digital Transformation and Innovation Capacity Drive Enterprise Green Total Factor Productivity in the Knowledge Economy?,"In an era where sustainability is imperative, green innovation has become a transformative strategy for firms striving to balance productivity with environmental responsibility. This study examines the impact of green innovation on green total factor productivity (GTFP) among firms in the MENA region, with a focus on the mediating role of innovation capacity and the moderating role of digital transformation. Grounded in the Resource-Based View and Dynamic Capability theory, the research establishes a comprehensive framework for understanding how green innovation drives sustainable productivity. Using data from 786 listed manufacturing firms in the MENA region between 2010 and 2022, the study employs advanced econometric methods, including the generalized method of moments (GMM), to address endogeneity concerns and ensure robust findings. The results confirm that green innovation significantly enhances GTFP, with innovation capacity enabling firms to effectively integrate green technologies and digital transformation amplifying their scalability and efficiency. Heterogeneity analysis reveals significant variations across ownership structures and industry sectors. Non-state enterprises outperform state-owned enterprises due to their operational flexibility, while sector-specific dynamics highlight stronger impacts of green innovation in energy and electronics compared to chemicals and textiles. This study contributes novel insights into the mechanisms and contextual factors that drive sustainable productivity, offering targeted recommendations for policymakers to promote green innovation, foster digital transformation, and implement tailored strategies for ownership structures and industry contexts to align economic growth with sustainability objectives.",Comparative Insight; Digital transformation; Firm-level green total factor productivity; Green innovation; Innovation capacity; MENA,2026,51,10.1007/s13132-025-02673-1,Cobbinah J.,Journal of the Knowledge Economy,2-s2.0-105024118294
Making obsolescence obsolete: Execution of digital transformation in a high-tech manufacturing SME,"Digitally transformed firms show resilience against environmental volatility by regularly developing adaptive capabilities and transforming their processes to mitigate the effects of obsolescence. However, there is a lack of conceptual clarity on the obsolescence notion and means of avoiding it. This paper aims to investigate how firms’ empirical sensitivities to evolving environmental changes emerge and materialize into the ongoing management of obsolescence. We undertook an interpretive longitudinal study between 2009 and 20, capturing both the transformation journey and the habitus of a high-tech SME, which is a family business and located in the UK. In doing so, we develop an integrative framework to explain the interplay between the noncognitive dynamic capabilities, obsolescence, and digital transformation. This study has important implications to boost SMEs’ capacity to counter obsolescence. We suggest managers pay attention to the development of noncognitive dynamic capabilities. This, in turn, inadvertently leads to successful digital transformation for obsolescence trap avoidance.",Consumer electronics; Digital transformation; Noncognitive dynamic capabilities; Obsolescence; Small and medium-sized enterprises-SME; Technology strategy,2022,51,10.1016/j.jbusres.2022.07.052,Ates A.,Journal of Business Research,2-s2.0-85135891546
Keeping pace with the digital transformation — exploring the digital orientation of SMEs,"In the digital era, organizations strategically adopt digital transformation to thrive and prosper. In particular, they allocate substantial resources to cultivate digital orientation. However, limited research has explored how digital orientation impacts the performance of small and medium-sized enterprises (SMEs). Our study sheds light on this relationship, examining it through the lens of a resource-based view (RBV) and dynamic capability (DC) perspective. We empirically quantify digital orientation and its subdimensions using textual data extracted from SME websites. Our findings unveil a U-shaped relationship: while high performance is observable at both extremes of the spectrum, an initial increase in digital orientation is associated with performance setbacks until a specific threshold of digital orientation is reached, after which performance once again begins to improve. As a result, SMEs should consider a strategic allocation of resources while pursuing digital orientation to build capabilities during their digital transformation journey.",Digital orientation; Dynamic capabilities; Performance; Resource-based view; SMEs,2025,50,10.1007/s11187-024-00947-7,Escoz Barragan K.,Small Business Economics,2-s2.0-105001553742
Unraveling the role of digital leadership in developing digital dynamic capabilities for the digital transformation of firms,,Digital dynamic capabilities; Digital leadership; Digital transformation; Dynamic capability,2025,50,10.1108/BIJ-10-2023-0756,Albannai N.A.,Benchmarking,2-s2.0-85198507678
Dynamic capabilities that matter for business failure versus survival,"Due to the severity and length of the COVID-19 pandemic, some businesses have failed whereas others, including those in the same industry, have survived. Drawing on dynamic capability theory, we explored the dynamic capabilities, whose presence or absence are conditions for business failure or survival. We conducted 16 in-depth semi-structured interviews with owners/executives of firms from the travel and tourism, catering and hospitality, and agricultural export industries in India. Using fuzzy set qualitative comparative analysis (fsQCA) technique, we found three causal configurations for the business failure phenomenon, and two causal configurations for business survival phenomenon. The absence of collaborative capability with key stakeholders was observed as key to business failure, and the absence of leadership adaptive capability and the ability to leverage government support were found in two of the three causal configurations. In contrast, leadership adaptive capability and collaborative capability were present in the two causal configurations for business survival. Contrary to common viewpoints, digital transformation capability was neither sufficient to prevent failure nor necessary to ensure survival. By focusing on firms' dynamic capabilities as the conditions that differentiate business failure from survival, this study advances scholarship, and offers guidance to managers on navigating through a crisis.",B2B; Business failure; Business survival; Dynamic capability; fsQCA; Qualitative comparative analysis,2024,49,10.1016/j.indmarman.2023.11.004,Gupta N.,Industrial Marketing Management,2-s2.0-85178621900
Digital transformation and business model innovation: the relevance of strategic orientations under varying conditions of competitive intensity,"Purpose: The COVID-19 pandemic disrupted existing business models, forcing managers in the manufacturing industry to look for new strategies that could help their firms bounce forward. The situation calls for a rethink, redesign, and development of new business models (BMs) using digital capabilities. Drawing from the dynamic capability theory, this paper investigates how digital transformation (DT) influences business model innovation (BMI) through technology orientation (TO). The paper further examined the moderating role of competitive intensity (CI) in the DT-TO link. Design/methodology/approach: The model was tested using survey data from 208 senior managers in manufacturing firms in Ghana. SPSS 23 and structural equation modeling (SEM) were used for the analyses. Findings: The results revealed that both DT and technology orientation directly influence all four dimensions of BMI. The result further showed that technology orientation indirectly mediates the relationship between DT and all four dimensions of BMI. The findings further showed that the DT-BMI link is amplified at varying levels of competitive intensity. Originality/value: Although recent research has highlighted the pertinence of embracing DT to foster innovation, to the best of the authors’ knowledge, this study among the first few attempts to shed light on the role of DT for sensing, seizing, and (re) configuring firms’ resources to renovate manufacturing business models to stay competitive. In addition, to date, to the best of the authors’ knowledge, no study exists that has examined the conditions and mechanism through which optimal BMI can be achieved through DT. The paper offer practical guidance to managers of manufacturing firms by developing an actionable framework to effectively leverage digital transformation for business model innovation through enhanced technology orientation, offering clear guidelines for assessing and aligning organizational capabilities with digital strategies.",Business model innovation; Competitive intensity; Digital transformation; Technology orientation,2025,49,10.1108/JMTM-07-2024-0394,Tetteh F.K.,Journal of Manufacturing Technology Management,2-s2.0-105001088328
Developing dynamic capabilities for successful digital transformation projects: the mediating role of change management,"Digital transformation is a growth strategy that has attracted a significant amount investment and is projected to boost the global economy by 2030. However, organizations face challenges in their efforts to develop effective approaches to digital transformation because of the constant need for new strategic choices. Dynamic capabilities and change management are vital with respect to organizations’ ability to maintain competitiveness in the changing environment established by digital technologies. The effective management of these changes is crucial, and failure is often the result of the absence of a suitable change management model. This study examines the significance of dynamic capabilities in digital transformation and explores the mediating role of a well-defined approach to change management in the context of digital projects. A quantitative research approach is used to investigate a population of 902 managers and team leaders working in the telecommunications sector in Yemen. A questionnaire is developed and administered to a sample of 350 participants, and the data collected were analyzed via SmartPLS. The findings reveal a positive relationship between dynamic capabilities and the successful implementation of digital transformation initiatives. Effective change management techniques facilitate digital transformation by playing a mediating role in the abovementioned relationship. The results of this research provide valuable insights into the theoretical framework underlying this topic by integrating dynamic capabilities, change management, and digital transformation. This information can help decision-makers in the telecommunications sector develop a roadmap for successful digital transformation projects in their organizations.",Change management; Digital transformation; Dynamic capabilities; Telecom; Yemen,2024,49,10.1186/s13731-024-00446-9,Al-Moaid N.A.A.,Journal of Innovation and Entrepreneurship,2-s2.0-85209406348
The role of absorptive capacity in the adoption of Smart Manufacturing,"Purpose: Smart Manufacturing (SM) lies at the core of Industry 4.0. Operations management research has identified several factors influencing firms’ ability to adopt SM. However, a clear understanding of capabilities needed to progress in SM is still missing. This paper aims to investigate how absorptive capacity (AC) allows firms to advance in SM and explore how managerial antecedents support the capacity to absorb SM-related knowledge at different stages of SM adoption. Design/methodology/approach: This study adopts an exploratory approach through multiple case studies. Twelve firms, operating as part of the automotive supply chain and exhibiting different stages of SM adoption, constitute the sample. Findings: The results suggest that advancement in SM requires firms to progressively reinforce their AC. Firms’ ability to acquire and assimilate SM knowledge is supported by managerial antecedents encompassing integrative capacities to bridge old and SM technologies, managerial cognition through the clear alignment of SM technologies with strategic goals and knowledge development capabilities through practices oriented to provide senior managers with SM competences. Originality/value: The findings contribute to SM research by suggesting that AC is a crucial dynamic capability for SM adoption. The results also provide evidence-grounded recommendations to firms engaged in the digital transformation on the managerial capabilities needed to support AC and to progress from lower to higher stages of SM.",Absorptive capacity; Industry 4.0; Multiple case study; Smart Manufacturing,2022,49,10.1108/IJOPM-09-2021-0615,Arcidiacono F.,International Journal of Operations and Production Management,2-s2.0-85129165932
Business model theory-based prediction of digital technology use: An empirical assessment,"Firms invest heavily in their future use of digital technology to create and appropriate value and thereby survive and prosper. Such decisions regarding the future are part of a firm's foresight, which is a core element of a firm's dynamic capabilities. The contemporary toolbox for generating foresight is dominated by procedural methods, thus ignoring theory-based predictions of the future uses of digital technology. This paper presents the first empirical assessment of business model theory's ability to predict the future uses of digital technology by a given firm. Predictions for a specific niche of hemophilia firms are investigated. Outcomes related to these predictions are then observed. The results show the power of business model theory for deriving such predictions, implying that the managerial toolbox for foresight generation should be extended to include this theory. This study also provides several directions for further development of business model theory to increase its ability to account for value creation and appropriation from the use of digital technology.",Digital transformation; Social change from technology use; Technology use forecasting; Theory evaluation; Value creation from technology use,2021,49,10.1016/j.techfore.2021.121174,Costa Climent R.,Technological Forecasting and Social Change,2-s2.0-85114828990
Assessing the relationship between digital transformation and sustainable business excellence in a turbulent scenario,"The Covid-19 pandemic has globally affected most of the industrial sectors, pushing public and private institutions to invest in digital transformation at a pace never experienced before. In such a turbulent scenario, companies, and especially small and medium-sized enterprise, must dynamically respond to this environment by undertaking a strategic transformation which involves changes in the organisation structure through the right digital interface and mechanisms to creating qualitative customer relationships and capturing value. Business success over time is built on leadership, people-based management, continuous improvements, management based on facts and constant customer focus. The evolutionary path of a firm’s business model driven by digitalisation describes its maturity. This paper aims at assessing the relationship between digital business model maturity and the sustainability of business performance over time. The results of an online survey involving the executives of 162 small and medium-sized enterprise operating in the tourism sector of five different continents have been analysed to test this relationship. Through a Structural Equations Modelling approach, the study found statistical evidence of the positive effect of digital business model maturity on sustainable business success. In this manner, this study contributes to academic literature by linking the concepts of digital transformation, digital business model maturity and sustainable business excellence.",business performance; digital business model maturity; digital business models; digital transformation; dynamic capabilities; expected future performance; SMEs; sustainable business excellence,2022,49,10.1080/14783363.2022.2063717,Savastano M.,Total Quality Management and Business Excellence,2-s2.0-85130018695
Transform Me If You Can: Leveraging Dynamic Capabilities to Manage Digital Transformation,"This study sheds light on the relationships between digital transformation, business model, and process efficiency capabilities, and new product development (NPD) performance by employing a sequential explanatory approach, combining quantitative and qualitative research methodologies, utilizing structural equation modeling based on 430 questionnaire respondents, and a multiple case study design using four cases. The derived framework highlights that digital transformation does not directly lead to NPD performance but that organizations use idiosyncratic higher order (e.g., business model and process efficiency) capabilities that mediate this relationship to strategically cope with change. When assessing, reconfiguring, and integrating, organizations tap into internal and external value, individual, technological, and organizational (VITO) dimensions to transform operational capabilities and resources. Thus, higher order capabilities enable organizations to leverage firm-external opportunities to adjust intrafirm operational capabilities, resources, and competencies, emphasizing a complex hierarchical and contextual interplay. The contributions of the study are twofold: 1) we provide statistical evidence that the business model and process efficiency capabilities are coping mechanisms to master digital transformation and 2) the successful orchestration of VITO dimensions is essential for assessing, reconfiguring, and integrating resources, competencies, and operational capabilities to derive NPD performance.",Digital transformation (DT); dynamic capabilities; mixed method; multiple case study; new product development (NPD); sequential explanatory approach; structural equation model,2024,49,10.1109/TEM.2023.3319406,Schneider M.H.G.,IEEE Transactions on Engineering Management,2-s2.0-85174823448
Value Impedance and Dynamic Capabilities: The Case of MedTech Incumbent-Born Digital Healthcare Platforms,"During the last decade, MedTech companies started to invest in building digital healthcare platforms to maintain their competitiveness in the Digital Economy. However, launching a new digital platform business revealed several challenges that MedTech incumbents must overcome, including value impedance. This is caused by digital transformation gaps, which, when left unmanaged, can stall digital healthcare platforms’ growth and even lead to their demise. This article distills four dynamic capabilities: sensing the internal environment, value-capturing through connectedness, orchestrating silos, and transforming organizational boundaries. These mitigate value impedance and bestow competitive advantage to MedTech incumbents’ digital platform business.",digital healthcare platforms; digital transformation gaps; dynamic capabilities; incumbent MedTech companies; incumbent upstream platform; value impedance,2022,47,10.1177/00081256221099326,Pundziene A.,California Management Review,2-s2.0-85132859323
